protocol,SID,CCLASS,CCLASS2,LAC50,HILL,INF,ZERO,MAXR,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,name,target,smi
s-my-C8-m4-1,NCGC00013226-15,1.3,4,-7.029209439,0.3,111.0444961,97.47214701,109.8342977,100.0444961,99.56753852,102.7829564,101.5329218,106.3535492,105.9976985,101.9163582,107.3704882,111.3999804,105.6030875,109.8342977,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,"Stelazine
trifluoperzine",DRD2,CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1
s-my-C8-m4-1,NCGC00013724-01,1.3,4,-7.679209439,4.954917313,113.0125725,107.4710642,110.4516158,108.0125725,108.6500042,105.0613156,110.5634336,116.2280427,113.5230916,114.2241325,115.0507613,110.0689911,110.7089224,110.4516158,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Methscopolamine bromide,NA,O=C([C@@H]([C@]4=CC=CC=C4)CO)O[C@@H]2C[C@@H]3[C@H]1O[C@H]1[C@@H]([N@+](C)3C)C2
s-my-C8-m4-1,NCGC00013822-03,1.3,4,-5.779209439,4.954917313,107.366032,100.1196143,99.47869186,99.36603202,94.14185072,104.4298522,100.050163,101.7051784,106.042271,93.74401723,103.82338,106.8695957,107.8559764,99.47869186,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NSC-75503,SHH,S1C(=C(C2=CC=NC=C2)C(=C1C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5
s-my-C8-m4-1,NCGC00013841-08,2.3,4,-4.729209439,2.121066706,86.74373212,108.8935611,89.26870361,101.8935611,112.3873565,107.0663858,111.1692168,112.4006051,109.5584155,108.5256299,110.618576,106.3617114,100.5166586,89.26870361,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Cyclobenzaprine hydrochloride,HTR2A,CN(C)CCC=C1C2=C(C=CC=C2)\C=C/C3=C1C=CC=C3
s-my-C8-m4-1,NCGC00014352-03,2.3,4,-4.729209439,1.478741,68.09305582,100.600062,73.71174635,101.805199,96.16869138,98.48137339,115.7631167,96.32382624,103.2041164,97.78350981,93.30395198,98.27158038,87.7128068,73.71174635,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,GANT61,SHH,CN(C)C1=C(CN2CCCN(CC3=C(C=CC=C3)N(C)C)C2C4=CC=NC=C4)C=CC=C1
s-my-C8-m4-1,NCGC00014650-03,4,-2.4,-4.479209439,0.8,8.885653513,86.8486491,29.33496383,93.23905857,82.57467893,81.0403345,77.98949115,74.44003616,82.75797194,80.82016146,80.79487618,77.89917579,70.53845789,29.33496383,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Ansamitocin P3,TUBB,CO[C@@H]1/C=C/C=C(C)/CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4
s-my-C8-m4-1,NCGC00014670-16,1.3,4,-7.879209439,4.954917313,109.3684904,100.7509146,106.0401006,100.3684904,101.8689231,99.85384391,108.9133456,108.3668938,112.9462357,110.2806569,111.1673597,108.2390747,106.6995033,106.0401006,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Domperidone,DRD1,ClC1=CC2=C(C=C1)N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2
s-my-C8-m4-1,NCGC00014873-04,4,-3,-4.579209439,4.504470285,3.489067833,109.7767205,11.94875625,110.3172262,114.7937471,109.2267276,110.8766445,120.0499075,108.850532,106.5295947,99.30175992,106.5954491,101.5361344,11.94875625,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,HLI-373989,MDM2,CN(C)CCCN\C1=C\2C(=O)N(C)C(=O)\N=C2N(C)C3=C1C=CC=C3
s-my-C8-m4-1,NCGC00014891-03,1.3,4,-6.717973445,4.954917313,100.9664935,105.321646,102.7796599,102.821646,105.6678604,107.9307657,102.497658,106.5246035,96.27568558,97.99903206,105.6511361,101.2727669,102.4998948,102.7796599,0.001560829,0.004682535,0.014047558,0.042142627,0.126427834,0.379283548,1.137850599,3.413551797,10.24065539,30.72196622,92.16589862,RG-108,DNMT1,OC(=O)[C@H](CC1=C[NH]C2=C1C=CC=C2)N3C(=O)C4=C(C=CC=C4)C3=O
s-my-C8-m4-1,NCGC00014911-01,1.1,-1.2,-6.029209439,4.954917313,48.06921558,98.06989494,112.4143775,100.1609692,104.9682365,98.07633974,94.49605372,92.50734365,96.6370125,96.18843957,45.56338977,44.05749363,57.1988724,112.4143775,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Cucurbitacin I,JAK2,CC(C)(O)\C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@]2(C)[C@@H]3C\C=C4/[C@@H](/C=C(/O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C
s-my-C8-m4-1,NCGC00014925-07,2.1,-3,-4.479209439,4.954917313,45.19169968,107.4573779,55.34108727,108.9329235,106.8288912,102.7688658,113.8246235,104.6147336,110.6332313,99.96562395,103.9495383,115.0965429,106.2395754,55.34108727,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Topotecan hydrochloride,TOP1,CC[C@@]1(O)C(=O)OC\C2=C1\C=C3/N(CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C34)C2=O
s-my-C8-m4-1,NCGC00014926-03,2.1,-2.2,-4.629209439,4.094972986,39.35000219,104.9145491,44.2241336,101.6432943,107.2005624,107.4152786,107.4347471,103.1460721,96.42978977,108.7990369,106.2724684,104.0606075,94.77711386,44.2241336,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Carboxyamidotriazole,NA,NC(=O)C1=C(N)[N](CC2=CC(=C(C(=C2)Cl)C(=O)C3=CC=C(Cl)C=C3)Cl)N=N1
s-my-C8-m4-1,NCGC00015004-11,2.1,-2.4,-4.729209439,4.504470285,85.34327912,109.5042693,85.87011082,108.5042693,109.298739,109.4443785,112.6205357,109.4601008,111.5482863,106.4304282,110.3700493,106.9323349,102.6408938,85.87011082,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Amoxapine,HTR2A,ClC1=CC\2=C(OC3=C(C=CC=C3)\N=C2N4CCNCC4)C=C1
s-my-C8-m4-1,NCGC00015026-14,1.3,4,-5.529209439,4.954917313,107.583006,115.6623672,108.6913102,114.6623672,117.8111543,114.0969459,118.5475345,115.4160167,115.2820973,114.7022734,116.2221093,107.1216018,106.6795662,108.6913102,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Atropine,CHRM1,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
s-my-C8-m4-1,NCGC00015034-02,1.3,4,-4.929209439,0.2,118.5541738,101.5541738,111.7877176,100.5541738,103.6242758,109.0891956,105.6806181,106.1582839,108.7087326,105.0483274,108.7218042,103.5336245,114.7133072,111.7877176,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,INO-1001,PARP1,NC(=O)C1=CC(=CC=C1)N
s-my-C8-m4-1,NCGC00015036-08,1.1,4,-7.079209439,1.967336206,120.2845749,103.5429391,118.8121424,103.2845749,105.1498292,102.6665451,105.4237391,109.0443317,118.0630265,121.0802268,119.530853,122.0756139,119.1969345,118.8121424,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Amantadine hydrochloride,DRD1,NC12CC3CC(CC(C3)C1)C2
s-my-C8-m4-1,NCGC00015038-08,5,4,NA,NA,NA,NA,100.6543833,103.0565224,101.5014831,102.2570812,106.9677454,108.8775272,92.75491405,76.63993336,107.6602938,102.891341,102.1906867,100.6543833,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Aminopterin,DHFR,NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N=C2C(=N1)N
s-my-C8-m4-1,NCGC00015049-18,2.1,-2.2,-4.679209439,4.094972986,44.71744886,104.4379436,49.62401646,105.5820402,107.6272919,106.5400525,111.0649825,103.5057441,105.2009613,102.8398314,106.0588042,91.73572359,92.10913073,49.62401646,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Apigenin,CYP2C9,OC1=CC=C(C=C1)\C2=C\C(=O)C3=C(O2)C=C(O)C=C3O
s-my-C8-m4-1,NCGC00015054-06,1.3,4,-5.079209439,1.826479391,100.7123719,112.4262773,101.9146895,112.9262773,111.6664963,107.6126892,112.9429355,116.3949326,111.9666513,116.4263423,108.9099427,110.4173107,102.3894544,101.9146895,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Tacrine hydrochloride,ACHE,NC1=C(CCCC3)C3=NC2=C1C=CC=C2
s-my-C8-m4-1,NCGC00015060-19,2.1,-3,-4.529209439,4.504470285,58.19174045,101.8629594,63.42068271,101.6361273,102.0538848,99.15865851,106.1523615,102.6043729,100.2706614,105.0935906,95.30800732,103.3740558,99.3697268,63.42068271,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Azathioprine,NA,C[N]1C=NC(=C1SC2=C3[NH]C=NC3=NC=N2)[N+]([O-])=O
s-my-C8-m4-1,NCGC00015061-12,5,4,NA,NA,NA,NA,107.397081,102.6857296,105.9854657,95.63056857,95.27245406,91.3657106,102.0598676,104.7877468,93.54099899,98.93841436,101.2264634,107.397081,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Aciclovir,NA,N\C1=N\C2=C(N=C[N]2COCCO)C(=O)N1
s-my-C8-m4-1,NCGC00015067-13,1.3,4,-5.729209439,0.8,98.47993087,106.1646326,99.22146141,105.1646326,105.1894705,105.8856531,109.4690818,107.4772644,101.5307862,105.3947064,101.6878852,102.0228447,98.76071449,99.22146141,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Aspirin,NA,CC(=O)OC1=C(C=CC=C1)C(O)=O
s-my-C8-m4-1,NCGC00015075-07,5,4,NA,NA,NA,NA,112.3149711,112.2707636,109.650225,114.2154979,115.0485273,112.8389515,117.6320598,118.0734948,117.9726458,117.7848166,108.1105215,112.3149711,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Arecoline,NA,COC(=O)\C1=C\CCN(C)C1
s-my-C8-m4-1,NCGC00015086-03,1.3,4,-8.079209439,4.449470285,109.3572436,97.69743658,106.6832451,98.85724363,97.05740442,101.2720564,109.5927998,112.4379617,106.753861,102.2294982,104.2744831,111.437095,120.4803989,106.6832451,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Acetylcysteine,NFKB1,CC(=O)NC(CS)C(O)=O
s-my-C8-m4-1,NCGC00015089-08,1.3,4,-6.379209439,4.954917313,107.186773,100.0384748,104.7388709,104.186773,103.7151673,94.37970792,103.2159771,103.3579051,90.72985781,108.1673874,102.7215513,108.8942932,111.3582486,104.7388709,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Amiloride hydrochloride,SCNN1D,ClC1=C(N=C(C(C(NC(N)=N)=O)=N1)N)N
s-my-C8-m4-1,NCGC00015092-09,5,4,NA,NA,NA,NA,109.3445249,105.400657,111.1480452,115.9971751,108.3391844,115.6754234,112.7914637,108.682004,111.2940487,103.3367012,110.8344008,109.3445249,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Aminocaproic acid,SERPINE1,NCCCCCC(O)=O
s-my-C8-m4-1,NCGC00015096-11,2.1,-2.2,-4.679209439,2.333173377,69.92078049,112.1112436,70.79448621,114.4797722,110.2238805,113.0874232,113.6290746,113.5011873,113.0020779,112.1577808,108.5811927,110.7076225,99.57120068,70.79448621,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Amiodarone,NA,CCCCC1=C(C(=O)C2=CC(=C(OCCN(CC)CC)C(=C2)I)I)C3=C(O1)C=CC=C3
s-my-C8-m4-1,NCGC00015100-14,5,4,NA,NA,NA,NA,102.261607,103.693254,112.9923656,92.50187781,102.4549184,109.1868636,102.9183154,99.19937882,102.8491258,100.7491652,96.93336073,102.261607,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Altretamine,NA,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
s-my-C8-m4-1,NCGC00015110-12,1.3,4,-5.729209439,0.3,98.3817203,115.4836812,101.8153805,113.9836812,112.7774961,115.8314504,108.5442786,112.4586296,107.9030729,110.1455921,104.5083155,107.7479711,105.4631616,101.8153805,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Aminoglutethimide,CYP19A1,CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2
s-my-C8-m4-1,NCGC00015116-10,1.3,4,-6.329209439,4.954917313,103.6359337,114.2702201,101.4916481,110.7702201,113.1918661,111.2347036,111.4334107,118.3072463,121.3842373,106.3636287,106.9823458,104.7531565,102.3165725,101.4916481,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Aniracetam,NA,O=C(C1=CC=C(OC)C=C1)N(CCC2)C2=O
s-my-C8-m4-1,NCGC00015121-16,1.3,4,-8.679209439,3.065448336,106.245404,94.24540395,95.20297147,94.74540395,101.0492953,107.7677757,103.733807,106.4170456,106.0643795,104.920979,108.1670994,108.8075824,103.6794473,95.20297147,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Phenoxybenzamine hydrochloride,NA,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
s-my-C8-m4-1,NCGC00015122-09,4,-2.1,-4.779209439,3.065448336,0.490841782,102.7342319,2.47528205,101.6972955,99.91705421,99.87891505,101.8646218,105.288385,103.1533205,101.9091615,106.1689208,102.4177411,60.77530235,2.47528205,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,Bupropion hydrochloride,SLC6A3,CC(NC(C)(C)C)C(=O)C1=CC=CC(=C1)Cl
