protocol,SID,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,gene
s-my-D10-m4-1,NCGC00346457-01,89.46389551,96.62878313,99.10386814,94.1120865,90.40203423,80.37329252,61.49978501,71.79147213,52.82232371,41.83420778,47.58103891,0.00039023,0.001170645,0.003511889,0.010535668,0.031606959,0.094820876,0.284462673,0.853387972,2.560163871,7.680491567,23.04147465,PIK3CA
s-my-D10-m4-1,NCGC00346459-01,110.30983,102.6829181,107.9348905,109.0040569,107.7460487,104.1058205,109.7255775,89.06043385,71.70195645,62.55008404,12.91110109,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,FGFR
s-my-D10-m4-1,NCGC00164600-03,103.5287914,86.55096758,86.35166064,92.52705327,92.15764361,98.88358937,100.1142372,89.95691508,72.72247308,41.42340855,23.85997539,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,PfATP6
s-my-D10-m4-1,NCGC00242490-02,93.39819943,101.1187329,99.43068268,88.07914069,90.31633407,70.67963552,79.86566251,60.35017613,66.03348281,37.10281198,-29.16955715,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,SRC
s-my-D10-m4-1,NCGC00015834-11,96.69260501,87.78823749,97.9461437,100.2749245,96.66987192,88.58318646,94.9677343,92.21011519,92.87900577,97.81335362,101.6451041,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
s-my-D10-m4-1,NCGC00344081-02,88.97562381,94.67733535,96.8306052,84.05970737,85.41780197,86.05338752,86.31977654,93.84267676,71.63653606,83.54297711,75.83092622,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
s-my-D10-m4-1,NCGC00274030-01,98.41785229,104.076529,99.2451746,99.76261174,109.5251683,106.8457542,107.660387,112.3933575,108.157379,100.0601805,99.214829,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,FGFR
s-my-D10-m4-1,NCGC00090851-09,94.87954171,92.65903825,96.13204574,94.55883291,83.44596435,94.48731252,104.0762398,99.0864148,102.243671,104.1563905,84.49866478,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,DNMT1
s-my-D10-m4-1,NCGC00263203-02,111.4279301,103.4255092,103.4403404,103.5109225,109.157862,99.93649369,101.4911256,98.6133348,88.63893374,80.53001376,46.49370181,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,AURKA
s-my-D10-m4-1,NCGC00346541-01,94.69157555,99.74897787,94.92169271,102.4573833,97.14641524,98.67854016,103.3902379,98.60231965,89.42859255,94.13956317,73.74268247,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,MTOR
s-my-D10-m4-1,NCGC00161834-01,105.7557694,109.5184002,98.08922899,93.78438736,89.83045845,101.0233609,88.67525291,93.867895,98.17826057,79.72816956,73.89245484,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
